"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Cód.","Município","Ano x Produto das lavouras temporárias e permanentes"
"Cód.","Município","2010"
"Cód.","Município","Total"
"2517001","Umbuzeiro (PB)","595"
"2517100","Várzea (PB)","415"
"2517209","Vieirópolis (PB)","540"
"2517407","Zabelê (PB)","660"
"2600054","Abreu e Lima (PE)","3309"
"2600104","Afogados da Ingazeira (PE)","21377"
"2600203","Afrânio (PE)","1832"
"2600302","Agrestina (PE)","853"
"2600401","Água Preta (PE)","10373"
"2600500","Águas Belas (PE)","5744"
"2600609","Alagoinha (PE)","1200"
"2600708","Aliança (PE)","10227"
"2600807","Altinho (PE)","1680"
"2600906","Amaraji (PE)","8073"
"2601003","Angelim (PE)","541"
"2601052","Araçoiaba (PE)","1409"
"2601102","Araripina (PE)","34497"
"2601201","Arcoverde (PE)","2460"
"2601300","Barra de Guabiraba (PE)","860"
"2601409","Barreiros (PE)","4388"
"2601508","Belém de Maria (PE)","1330"
"2601607","Belém do São Francisco (PE)","2690"
"2601706","Belo Jardim (PE)","4387"
"2601805","Betânia (PE)","9240"
"2601904","Bezerros (PE)","2510"
"2602001","Bodocó (PE)","13097"
"2602100","Bom Conselho (PE)","5879"
"2602209","Bom Jardim (PE)","2014"
"2602308","Bonito (PE)","4307"
"2602407","Brejão (PE)","1877"
"2602506","Brejinho (PE)","2032"
"2602605","Brejo da Madre de Deus (PE)","1847"
"2602704","Buenos Aires (PE)","4962"
"2602803","Buíque (PE)","18935"
"2602902","Cabo de Santo Agostinho (PE)","3680"
"2603009","Cabrobó (PE)","5515"
"2603108","Cachoeirinha (PE)","2330"
"2603207","Caetés (PE)","11432"
"2603306","Calçado (PE)","6530"
"2603405","Calumbi (PE)","1794"
"2603454","Camaragibe (PE)","3620"
"2603504","Camocim de São Félix (PE)","4750"
"2603603","Camutanga (PE)","3409"
"2603702","Canhotinho (PE)","2765"
"2603801","Capoeiras (PE)","6439"
"2603900","Carnaíba (PE)","12778"
"2603926","Carnaubeira da Penha (PE)","3710"
"2604007","Carpina (PE)","3499"
"2604106","Caruaru (PE)","3259"
"2604155","Casinhas (PE)","3966"
"2604205","Catende (PE)","5282"
"2604304","Cedro (PE)","4724"
"2604403","Chã de Alegria (PE)","3768"
"2604502","Chã Grande (PE)","360"
"2604601","Condado (PE)","5064"
"2604700","Correntes (PE)","1605"
"2604809","Cortês (PE)","4081"
"2604908","Cumaru (PE)","6943"
"2605004","Cupira (PE)","1010"
"2605103","Custódia (PE)","7440"
"2605152","Dormentes (PE)","2280"
"2605202","Escada (PE)","8203"
"2605301","Exu (PE)","19011"
"2605400","Feira Nova (PE)","1136"
"2605459","Fernando de Noronha (PE)","..."
"2605509","Ferreiros (PE)","5255"
"2605608","Flores (PE)","20048"
"2605707","Floresta (PE)","4275"
"2605806","Frei Miguelinho (PE)","1117"
"2605905","Gameleira (PE)","8280"
"2606002","Garanhuns (PE)","3904"
"2606101","Glória do Goitá (PE)","3825"
"2606200","Goiana (PE)","14639"
"2606309","Granito (PE)","4682"
"2606408","Gravatá (PE)","1473"
"2606507","Iati (PE)","2563"
"2606606","Ibimirim (PE)","9600"
"2606705","Ibirajuba (PE)","2530"
"2606804","Igarassu (PE)","8731"
"2606903","Iguaracy (PE)","8411"
"2607000","Inajá (PE)","3970"
"2607109","Ingazeira (PE)","8264"
"2607208","Ipojuca (PE)","5265"
"2607307","Ipubi (PE)","10565"
"2607406","Itacuruba (PE)","985"
"2607505","Itaíba (PE)","8260"
"2607604","Ilha de Itamaracá (PE)","1252"
"2607653","Itambé (PE)","12214"
"2607703","Itapetim (PE)","7582"
"2607752","Itapissuma (PE)","1691"
"2607802","Itaquitinga (PE)","5192"
"2607901","Jaboatão dos Guararapes (PE)","9809"
"2607950","Jaqueira (PE)","4302"
"2608008","Jataúba (PE)","639"
"2608057","Jatobá (PE)","1151"
"2608107","João Alfredo (PE)","2855"
"2608206","Joaquim Nabuco (PE)","3677"
"2608255","Jucati (PE)","6906"
"2608305","Jupi (PE)","7424"
"2608404","Jurema (PE)","6615"
"2608453","Lagoa do Carro (PE)","2081"
"2608503","Lagoa de Itaenga (PE)","4961"
"2608602","Lagoa do Ouro (PE)","990"
"2608701","Lagoa dos Gatos (PE)","2514"
"2608750","Lagoa Grande (PE)","4710"
"2608800","Lajedo (PE)","8360"
"2608909","Limoeiro (PE)","2821"
"2609006","Macaparana (PE)","5169"
"2609105","Machados (PE)","6110"
"2609154","Manari (PE)","10840"
"2609204","Maraial (PE)","4535"
"2609303","Mirandiba (PE)","4114"
"2609402","Moreno (PE)","10662"
"2609501","Nazaré da Mata (PE)","5112"
"2609600","Olinda (PE)","209"
"2609709","Orobó (PE)","1952"
"2609808","Orocó (PE)","4303"
"2609907","Ouricuri (PE)","23494"
"2610004","Palmares (PE)","8514"
"2610103","Palmeirina (PE)","646"
"2610202","Panelas (PE)","1853"
"2610301","Paranatama (PE)","7168"
"2610400","Parnamirim (PE)","3703"
"2610509","Passira (PE)","5731"
"2610608","Paudalho (PE)","6590"
"2610707","Paulista (PE)","249"
"2610806","Pedra (PE)","4372"
"2610905","Pesqueira (PE)","7335"
"2611002","Petrolândia (PE)","2639"
"2611101","Petrolina (PE)","26951"
"2611200","Poção (PE)","1350"
"2611309","Pombos (PE)","2928"
"2611408","Primavera (PE)","8626"
"2611507","Quipapá (PE)","11255"
"2611533","Quixaba (PE)","8945"
"2611606","Recife (PE)","..."
"2611705","Riacho das Almas (PE)","2182"
"2611804","Ribeirão (PE)","10939"
"2611903","Rio Formoso (PE)","6583"
"2612000","Sairé (PE)","8951"
"2612109","Salgadinho (PE)","7779"
"2612208","Salgueiro (PE)","2362"
"2612307","Saloá (PE)","4848"
"2612406","Sanharó (PE)","2700"
"2612455","Santa Cruz (PE)","15213"
"2612471","Santa Cruz da Baixa Verde (PE)","2331"
"2612505","Santa Cruz do Capibaribe (PE)","896"
"2612554","Santa Filomena (PE)","10936"
"2612604","Santa Maria da Boa Vista (PE)","10145"
"2612703","Santa Maria do Cambucá (PE)","8981"
"2612802","Santa Terezinha (PE)","5731"
"2612901","São Benedito do Sul (PE)","2306"
"2613008","São Bento do Una (PE)","6805"
"2613107","São Caitano (PE)","2557"
"2613206","São João (PE)","16155"
"2613305","São Joaquim do Monte (PE)","9103"
"2613404","São José da Coroa Grande (PE)","1270"
"2613503","São José do Belmonte (PE)","14512"
"2613602","São José do Egito (PE)","19177"
"2613701","São Lourenço da Mata (PE)","5008"
"2613800","São Vicente Férrer (PE)","5749"
"2613909","Serra Talhada (PE)","15191"
"2614006","Serrita (PE)","5724"
"2614105","Sertânia (PE)","6158"
"2614204","Sirinhaém (PE)","17249"
"2614303","Moreilândia (PE)","853"
"2614402","Solidão (PE)","4110"
"2614501","Surubim (PE)","7300"
"2614600","Tabira (PE)","12977"
"2614709","Tacaimbó (PE)","1790"
"2614808","Tacaratu (PE)","3491"
"2614857","Tamandaré (PE)","4174"
"2615003","Taquaritinga do Norte (PE)","2101"
"2615102","Terezinha (PE)","2352"
"2615201","Terra Nova (PE)","822"
"2615300","Timbaúba (PE)","11092"
"2615409","Toritama (PE)","689"
"2615508","Tracunhaém (PE)","7144"
"2615607","Trindade (PE)","6821"
"2615706","Triunfo (PE)","3705"
"2615805","Tupanatinga (PE)","5232"
"2615904","Tuparetama (PE)","3339"
"2616001","Venturosa (PE)","2440"
"2616100","Verdejante (PE)","3291"
"2616183","Vertente do Lério (PE)","7854"
"2616209","Vertentes (PE)","6935"
"2616308","Vicência (PE)","12949"
"2616407","Vitória de Santo Antão (PE)","6588"
"2616506","Xexéu (PE)","3905"
"2700102","Água Branca (AL)","4438"
"2700201","Anadia (AL)","8753"
"2700300","Arapiraca (AL)","12781"
"2700409","Atalaia (AL)","20330"
"2700508","Barra de Santo Antônio (AL)","2844"
"2700607","Barra de São Miguel (AL)","1417"
"2700706","Batalha (AL)","2040"
"2700805","Belém (AL)","510"
"2700904","Belo Monte (AL)","2050"
"2701001","Boca da Mata (AL)","12777"
"2701100","Branquinha (AL)","5349"
"2701209","Cacimbinhas (AL)","2295"
"2701308","Cajueiro (AL)","3763"
"2701357","Campestre (AL)","3147"
"2701407","Campo Alegre (AL)","16509"
"2701506","Campo Grande (AL)","532"
"2701605","Canapi (AL)","4042"
"2701704","Capela (AL)","8375"
"2701803","Carneiros (AL)","1030"
"2701902","Chã Preta (AL)","596"
"2702009","Coité do Nóia (AL)","1753"
"2702108","Colônia Leopoldina (AL)","7731"
"2702207","Coqueiro Seco (AL)","565"
"2702306","Coruripe (AL)","55185"
"2702355","Craíbas (AL)","4590"
"2702405","Delmiro Gouveia (AL)","3262"
"2702504","Dois Riachos (AL)","3270"
"2702553","Estrela de Alagoas (AL)","3543"
"2702603","Feira Grande (AL)","3580"
"2702702","Feliz Deserto (AL)","3291"
"2702801","Flexeiras (AL)","5722"
"2702900","Girau do Ponciano (AL)","8713"
"2703007","Ibateguara (AL)","3520"
"2703106","Igaci (AL)","6571"
"2703205","Igreja Nova (AL)","10679"
"2703304","Inhapi (AL)","4492"
"2703403","Jacaré dos Homens (AL)","663"
"2703502","Jacuípe (AL)","2621"
"2703601","Japaratinga (AL)","2113"
"2703700","Jaramataia (AL)","1810"
"2703759","Jequiá da Praia (AL)","16017"
"2703809","Joaquim Gomes (AL)","3303"
"2703908","Jundiá (AL)","3208"
"2704005","Junqueiro (AL)","12929"
"2704104","Lagoa da Canoa (AL)","3429"
"2704203","Limoeiro de Anadia (AL)","4918"
"2704302","Maceió (AL)","9383"
"2704401","Major Isidoro (AL)","3930"
"2704500","Maragogi (AL)","6734"
"2704609","Maravilha (AL)","1093"
"2704708","Marechal Deodoro (AL)","16056"
"2704807","Maribondo (AL)","189"
"2704906","Mar Vermelho (AL)","110"
"2705002","Mata Grande (AL)","4140"
"2705101","Matriz de Camaragibe (AL)","9433"
"2705200","Messias (AL)","7329"
"2705309","Minador do Negrão (AL)","650"
"2705408","Monteirópolis (AL)","1376"
"2705507","Murici (AL)","10874"
"2705606","Novo Lino (AL)","5114"
"2705705","Olho d'Água das Flores (AL)","1845"
"2705804","Olho d'Água do Casado (AL)","3710"
"2705903","Olho d'Água Grande (AL)","712"
"2706000","Olivença (AL)","1820"
"2706109","Ouro Branco (AL)","1561"
"2706208","Palestina (AL)","611"
"2706307","Palmeira dos Índios (AL)","5848"
"2706406","Pão de Açúcar (AL)","4491"
"2706422","Pariconha (AL)","3646"
"2706448","Paripueira (AL)","2109"
"2706505","Passo de Camaragibe (AL)","8458"
"2706604","Paulo Jacinto (AL)","88"
"2706703","Penedo (AL)","19244"
"2706802","Piaçabuçu (AL)","2376"
"2706901","Pilar (AL)","7343"
"2707008","Pindoba (AL)","737"
"2707107","Piranhas (AL)","3615"
"2707206","Poço das Trincheiras (AL)","1210"
"2707305","Porto Calvo (AL)","9483"
"2707404","Porto de Pedras (AL)","2607"
"2707503","Porto Real do Colégio (AL)","2389"
"2707602","Quebrangulo (AL)","78"
"2707701","Rio Largo (AL)","15718"
"2707800","Roteiro (AL)","8429"
"2707909","Santa Luzia do Norte (AL)","1841"
"2708006","Santana do Ipanema (AL)","6101"
"2708105","Santana do Mundaú (AL)","3920"
"2708204","São Brás (AL)","361"
"2708303","São José da Laje (AL)","12181"
"2708402","São José da Tapera (AL)","3025"
"2708501","São Luís do Quitunde (AL)","19174"
"2708600","São Miguel dos Campos (AL)","29071"
"2708709","São Miguel dos Milagres (AL)","2277"
"2708808","São Sebastião (AL)","9223"
"2708907","Satuba (AL)","1459"
"2708956","Senador Rui Palmeira (AL)","838"
"2709004","Tanque d'Arca (AL)","892"
"2709103","Taquarana (AL)","8439"
"2709152","Teotônio Vilela (AL)","16247"
"2709202","Traipu (AL)","6254"
"2709301","União dos Palmares (AL)","13957"
"2709400","Viçosa (AL)","1432"
"2800100","Amparo de São Francisco (SE)","175"
"2800209","Aquidabã (SE)","1993"
"2800308","Aracaju (SE)","330"
"2800407","Arauá (SE)","6136"
"2800506","Areia Branca (SE)","1877"
"2800605","Barra dos Coqueiros (SE)","2497"
"2800670","Boquim (SE)","5439"
"2800704","Brejo Grande (SE)","4710"
"2801009","Campo do Brito (SE)","1415"
"2801108","Canhoba (SE)","377"
"2801207","Canindé de São Francisco (SE)","5490"
"2801306","Capela (SE)","13467"
"2801405","Carira (SE)","41840"
"2801504","Carmópolis (SE)","1347"
"2801603","Cedro de São João (SE)","787"
"2801702","Cristinápolis (SE)","8066"
"2801900","Cumbe (SE)","1849"
"2802007","Divina Pastora (SE)","501"
"2802106","Estância (SE)","10372"
"2802205","Feira Nova (SE)","3295"
"2802304","Frei Paulo (SE)","15731"
"2802403","Gararu (SE)","4877"
"2802502","General Maynard (SE)","84"
"2802601","Gracho Cardoso (SE)","1510"
"2802700","Ilha das Flores (SE)","2788"
"2802809","Indiaroba (SE)","8603"
"2802908","Itabaiana (SE)","5142"
"2803005","Itabaianinha (SE)","8954"
"2803104","Itabi (SE)","1420"
"2803203","Itaporanga d'Ajuda (SE)","7319"
"2803302","Japaratuba (SE)","7419"
"2803401","Japoatã (SE)","7205"
"2803500","Lagarto (SE)","20601"
"2803609","Laranjeiras (SE)","6488"
"2803708","Macambira (SE)","3337"
"2803807","Malhada dos Bois (SE)","323"
"2803906","Malhador (SE)","1709"
"2804003","Maruim (SE)","1837"
"2804102","Moita Bonita (SE)","1810"
"2804201","Monte Alegre de Sergipe (SE)","6947"
"2804300","Muribeca (SE)","1164"
"2804409","Neópolis (SE)","7092"
"2804458","Nossa Senhora Aparecida (SE)","9058"
"2804508","Nossa Senhora da Glória (SE)","12086"
"2804607","Nossa Senhora das Dores (SE)","4598"
"2804706","Nossa Senhora de Lourdes (SE)","1080"
"2804805","Nossa Senhora do Socorro (SE)","380"
"2804904","Pacatuba (SE)","12901"
"2805000","Pedra Mole (SE)","3392"
"2805109","Pedrinhas (SE)","1632"
"2805208","Pinhão (SE)","8425"
"2805307","Pirambu (SE)","1127"
"2805406","Poço Redondo (SE)","10689"
"2805505","Poço Verde (SE)","22602"
"2805604","Porto da Folha (SE)","11163"
"2805703","Propriá (SE)","3684"
"2805802","Riachão do Dantas (SE)","6139"
"2805901","Riachuelo (SE)","2250"
"2806008","Ribeirópolis (SE)","5865"
"2806107","Rosário do Catete (SE)","1265"
"2806206","Salgado (SE)","6749"
"2806305","Santa Luzia do Itanhy (SE)","7865"
"2806404","Santana do São Francisco (SE)","1235"
"2806503","Santa Rosa de Lima (SE)","1343"
"2806602","Santo Amaro das Brotas (SE)","4982"
"2806701","São Cristóvão (SE)","2013"
"2806800","São Domingos (SE)","1807"
"2806909","São Francisco (SE)","1011"
"2807006","São Miguel do Aleixo (SE)","4713"
"2807105","Simão Dias (SE)","31533"
"2807204","Siriri (SE)","2058"
"2807303","Telha (SE)","1031"
"2807402","Tobias Barreto (SE)","5817"
"2807501","Tomar do Geru (SE)","4999"
"2807600","Umbaúba (SE)","5759"
"2900108","Abaíra (BA)","1980"
"2900207","Abaré (BA)","1156"
"2900306","Acajutiba (BA)","7027"
"2900355","Adustina (BA)","33300"
"2900405","Água Fria (BA)","10141"
"2900504","Érico Cardoso (BA)","1773"
"2900603","Aiquara (BA)","5768"
"2900702","Alagoinhas (BA)","3556"
"2900801","Alcobaça (BA)","4534"
"2900900","Almadina (BA)","3765"
"2901007","Amargosa (BA)","4564"
"2901106","Amélia Rodrigues (BA)","3197"
"2901155","América Dourada (BA)","13068"
"2901205","Anagé (BA)","2456"
"2901304","Andaraí (BA)","2396"
"2901353","Andorinha (BA)","1571"
"2901403","Angical (BA)","5866"
"2901502","Anguera (BA)","1050"
"2901601","Antas (BA)","9320"
"2901700","Antônio Cardoso (BA)","4415"
"2901809","Antônio Gonçalves (BA)","2752"
"2901908","Aporá (BA)","2368"
"2901957","Apuarema (BA)","3580"
"2902005","Aracatu (BA)","2800"
"2902054","Araçás (BA)","902"
"2902104","Araci (BA)","28225"
"2902203","Aramari (BA)","944"
"2902252","Arataca (BA)","21740"
"2902302","Aratuípe (BA)","780"
"2902401","Aurelino Leal (BA)","8512"
"2902500","Baianópolis (BA)","12376"
"2902609","Baixa Grande (BA)","3045"
"2902658","Banzaê (BA)","4950"
"2902708","Barra (BA)","7648"
"2902807","Barra da Estiva (BA)","11775"
"2902906","Barra do Choça (BA)","30775"
"2903003","Barra do Mendes (BA)","5136"
"2903102","Barra do Rocha (BA)","7302"
"2903201","Barreiras (BA)","195282"
"2903235","Barro Alto (BA)","14777"
"2903276","Barrocas (BA)","9085"
"2903300","Barro Preto (BA)","9720"
"2903409","Belmonte (BA)","14875"
"2903508","Belo Campo (BA)","1522"
"2903607","Biritinga (BA)","8007"
"2903706","Boa Nova (BA)","2420"
"2903805","Boa Vista do Tupim (BA)","2620"
"2903904","Bom Jesus da Lapa (BA)","14700"
"2903953","Bom Jesus da Serra (BA)","1160"
"2904001","Boninal (BA)","624"
"2904050","Bonito (BA)","9848"
"2904100","Boquira (BA)","1753"
"2904209","Botuporã (BA)","6052"
"2904308","Brejões (BA)","7786"
"2904407","Brejolândia (BA)","1855"
"2904506","Brotas de Macaúbas (BA)","3955"
"2904605","Brumado (BA)","5555"
"2904704","Buerarema (BA)","8277"
"2904753","Buritirama (BA)","1755"
"2904803","Caatiba (BA)","1576"
"2904852","Cabaceiras do Paraguaçu (BA)","4336"
"2904902","Cachoeira (BA)","4776"
"2905008","Caculé (BA)","3974"
"2905107","Caém (BA)","1695"
"2905156","Caetanos (BA)","750"
"2905206","Caetité (BA)","5934"
"2905305","Cafarnaum (BA)","26440"
"2905404","Cairu (BA)","12107"
"2905503","Caldeirão Grande (BA)","2823"
"2905602","Camacan (BA)","14760"
"2905701","Camaçari (BA)","1671"
"2905800","Camamu (BA)","28868"
"2905909","Campo Alegre de Lourdes (BA)","8850"
"2906006","Campo Formoso (BA)","91829"
"2906105","Canápolis (BA)","1935"
"2906204","Canarana (BA)","24372"
"2906303","Canavieiras (BA)","11895"
"2906402","Candeal (BA)","1140"
"2906501","Candeias (BA)","157"
"2906600","Candiba (BA)","9576"
"2906709","Cândido Sales (BA)","5950"
"2906808","Cansanção (BA)","27823"
"2906824","Canudos (BA)","6306"
"2906857","Capela do Alto Alegre (BA)","1230"
"2906873","Capim Grosso (BA)","1183"
"2906899","Caraíbas (BA)","1223"
"2906907","Caravelas (BA)","8486"
"2907004","Cardeal da Silva (BA)","795"
"2907103","Carinhanha (BA)","3040"
"2907202","Casa Nova (BA)","10546"
"2907301","Castro Alves (BA)","2683"
"2907400","Catolândia (BA)","798"
"2907509","Catu (BA)","1014"
"2907558","Caturama (BA)","2415"
"2907608","Central (BA)","14275"
"2907707","Chorrochó (BA)","452"
"2907806","Cícero Dantas (BA)","16108"
"2907905","Cipó (BA)","1880"
"2908002","Coaraci (BA)","7240"
"2908101","Cocos (BA)","26557"
"2908200","Conceição da Feira (BA)","888"
"2908309","Conceição do Almeida (BA)","1970"
"2908408","Conceição do Coité (BA)","23500"
"2908507","Conceição do Jacuípe (BA)","1660"
"2908606","Conde (BA)","14366"
"2908705","Condeúba (BA)","7273"
"2908804","Contendas do Sincorá (BA)","1309"
"2908903","Coração de Maria (BA)","6665"
"2909000","Cordeiros (BA)","1162"
"2909109","Coribe (BA)","7000"
"2909208","Coronel João Sá (BA)","27300"
"2909307","Correntina (BA)","157435"
"2909406","Cotegipe (BA)","1971"
"2909505","Cravolândia (BA)","1220"
"2909604","Crisópolis (BA)","13415"
"2909703","Cristópolis (BA)","1841"
"2909802","Cruz das Almas (BA)","6300"
"2909901","Curaçá (BA)","3992"
"2910008","Dário Meira (BA)","6838"
"2910057","Dias d'Ávila (BA)","239"
"2910107","Dom Basílio (BA)","13755"
"2910206","Dom Macedo Costa (BA)","961"
"2910305","Elísio Medrado (BA)","905"
"2910404","Encruzilhada (BA)","14609"
"2910503","Entre Rios (BA)","3635"
"2910602","Esplanada (BA)","12772"
"2910701","Euclides da Cunha (BA)","79258"
"2910727","Eunápolis (BA)","9389"
"2910750","Fátima (BA)","16405"
"2910776","Feira da Mata (BA)","5111"
"2910800","Feira de Santana (BA)","35757"
"2910859","Filadélfia (BA)","8512"
"2910909","Firmino Alves (BA)","1318"
"2911006","Floresta Azul (BA)","4782"
"2911105","Formosa do Rio Preto (BA)","350375"
"2911204","Gandu (BA)","10836"
"2911253","Gavião (BA)","800"
"2911303","Gentio do Ouro (BA)","1715"
"2911402","Glória (BA)","1350"
"2911501","Gongogi (BA)","3815"
"2911600","Governador Mangabeira (BA)","4900"
"2911659","Guajeru (BA)","1165"
"2911709","Guanambi (BA)","8572"
"2911808","Guaratinga (BA)","6796"
"2911857","Heliópolis (BA)","8693"
"2911907","Iaçu (BA)","4738"
"2912004","Ibiassucê (BA)","3811"
"2912103","Ibicaraí (BA)","5831"
"2912202","Ibicoara (BA)","14860"
"2912301","Ibicuí (BA)","2140"
"2912400","Ibipeba (BA)","9049"
"2912509","Ibipitanga (BA)","1234"
"2912608","Ibiquera (BA)","440"
"2912707","Ibirapitanga (BA)","23367"
"2912806","Ibirapuã (BA)","11603"
"2912905","Ibirataia (BA)","16687"
"2913002","Ibitiara (BA)","1215"
"2913101","Ibititá (BA)","30526"
"2913200","Ibotirama (BA)","1793"
"2913309","Ichu (BA)","1020"
"2913408","Igaporã (BA)","2235"
"2913457","Igrapiúna (BA)","14853"
"2913507","Iguaí (BA)","3915"
"2913606","Ilhéus (BA)","51815"
"2913705","Inhambupe (BA)","10670"
"2913804","Ipecaetá (BA)","5939"
"2913903","Ipiaú (BA)","9139"
"2914000","Ipirá (BA)","2478"
"2914109","Ipupiara (BA)","668"
"2914208","Irajuba (BA)","1764"
"2914307","Iramaia (BA)","1151"
"2914406","Iraquara (BA)","7450"
"2914505","Irará (BA)","15532"
"2914604","Irecê (BA)","3435"
"2914653","Itabela (BA)","8889"
"2914703","Itaberaba (BA)","4317"
"2914802","Itabuna (BA)","11540"
"2914901","Itacaré (BA)","14747"
"2915007","Itaeté (BA)","7078"
"2915106","Itagi (BA)","7750"
"2915205","Itagibá (BA)","11600"
"2915304","Itagimirim (BA)","380"
"2915353","Itaguaçu da Bahia (BA)","5066"
"2915403","Itaju do Colônia (BA)","1305"
"2915502","Itajuípe (BA)","16830"
"2915601","Itamaraju (BA)","22675"
"2915700","Itamari (BA)","5273"
"2915809","Itambé (BA)","3507"
"2915908","Itanagra (BA)","328"
"2916005","Itanhém (BA)","3790"
"2916104","Itaparica (BA)","38"
"2916203","Itapé (BA)","1676"
"2916302","Itapebi (BA)","5001"
"2916401","Itapetinga (BA)","95"
"2916500","Itapicuru (BA)","17910"
"2916609","Itapitanga (BA)","2380"
"2916708","Itaquara (BA)","1168"
"2916807","Itarantim (BA)","335"
"2916856","Itatim (BA)","495"
"2916906","Itiruçu (BA)","2823"
"2917003","Itiúba (BA)","10065"
"2917102","Itororó (BA)","5558"
"2917201","Ituaçu (BA)","6085"
"2917300","Ituberá (BA)","16548"
"2917334","Iuiu (BA)","9405"
"2917359","Jaborandi (BA)","95713"
"2917409","Jacaraci (BA)","2404"
"2917508","Jacobina (BA)","16706"
"2917607","Jaguaquara (BA)","6670"
"2917706","Jaguarari (BA)","4040"
"2917805","Jaguaripe (BA)","6003"
"2917904","Jandaíra (BA)","13725"
"2918001","Jequié (BA)","8772"
"2918100","Jeremoabo (BA)","27525"
"2918209","Jiquiriçá (BA)","5229"
"2918308","Jitaúna (BA)","7102"
"2918357","João Dourado (BA)","13061"
"2918407","Juazeiro (BA)","36629"
"2918456","Jucuruçu (BA)","4980"
"2918506","Jussara (BA)","22330"
"2918555","Jussari (BA)","4773"
"2918605","Jussiape (BA)","1554"
"2918704","Lafaiete Coutinho (BA)","1052"
"2918753","Lagoa Real (BA)","3395"
"2918803","Laje (BA)","7549"
"2918902","Lajedão (BA)","3324"
"2919009","Lajedinho (BA)","395"
"2919058","Lajedo do Tabocal (BA)","3598"
"2919108","Lamarão (BA)","2301"
"2919157","Lapão (BA)","35465"
"2919207","Lauro de Freitas (BA)","53"
"2919306","Lençóis (BA)","2333"
"2919405","Licínio de Almeida (BA)","2849"
"2919504","Livramento de Nossa Senhora (BA)","23660"
"2919553","Luís Eduardo Magalhães (BA)","170912"
"2919603","Macajuba (BA)","1137"
"2919702","Macarani (BA)","282"
"2919801","Macaúbas (BA)","6313"
"2919900","Macururé (BA)","250"
"2919926","Madre de Deus (BA)","..."
"2919959","Maetinga (BA)","660"
"2920007","Maiquinique (BA)","141"
"2920106","Mairi (BA)","860"
"2920205","Malhada (BA)","21502"
"2920304","Malhada de Pedras (BA)","2386"
"2920403","Manoel Vitorino (BA)","1607"
"2920452","Mansidão (BA)","2502"
"2920502","Maracás (BA)","2119"
"2920601","Maragogipe (BA)","5124"
"2920700","Maraú (BA)","16585"
"2920809","Marcionílio Souza (BA)","964"
"2920908","Mascote (BA)","12745"
"2921005","Mata de São João (BA)","1305"
"2921054","Matina (BA)","2703"
"2921104","Medeiros Neto (BA)","10392"
"2921203","Miguel Calmon (BA)","5958"
"2921302","Milagres (BA)","540"
"2921401","Mirangaba (BA)","9400"
"2921450","Mirante (BA)","1440"
"2921500","Monte Santo (BA)","30720"
"2921609","Morpará (BA)","1765"
"2921708","Morro do Chapéu (BA)","16785"
"2921807","Mortugaba (BA)","2054"
"2921906","Mucugê (BA)","12026"
"2922003","Mucuri (BA)","13373"
"2922052","Mulungu do Morro (BA)","11002"
"2922102","Mundo Novo (BA)","8330"
"2922201","Muniz Ferreira (BA)","1084"
"2922250","Muquém do São Francisco (BA)","19055"
"2922300","Muritiba (BA)","3297"
"2922409","Mutuípe (BA)","6212"
"2922508","Nazaré (BA)","797"
"2922607","Nilo Peçanha (BA)","10101"
"2922656","Nordestina (BA)","2650"
"2922706","Nova Canaã (BA)","1955"
"2922730","Nova Fátima (BA)","870"
"2922755","Nova Ibiá (BA)","7077"
"2922805","Nova Itarana (BA)","1705"
"2922854","Nova Redenção (BA)","5303"
"2922904","Nova Soure (BA)","6819"
"2923001","Nova Viçosa (BA)","4044"
"2923035","Novo Horizonte (BA)","673"
"2923050","Novo Triunfo (BA)","4755"
"2923100","Olindina (BA)","5160"
"2923209","Oliveira dos Brejinhos (BA)","1317"
"2923308","Ouriçangas (BA)","638"
"2923357","Ourolândia (BA)","17583"
"2923407","Palmas de Monte Alto (BA)","21887"
"2923506","Palmeiras (BA)","979"
"2923605","Paramirim (BA)","6662"
"2923704","Paratinga (BA)","4410"
"2923803","Paripiranga (BA)","25725"
"2923902","Pau Brasil (BA)","8165"
"2924009","Paulo Afonso (BA)","4968"
"2924058","Pé de Serra (BA)","870"
"2924108","Pedrão (BA)","780"
"2924207","Pedro Alexandre (BA)","18670"
"2924306","Piatã (BA)","2215"
"2924405","Pilão Arcado (BA)","7320"
"2924504","Pindaí (BA)","8231"
"2924603","Pindobaçu (BA)","3575"
"2924652","Pintadas (BA)","1240"
"2924678","Piraí do Norte (BA)","3588"
"2924702","Piripá (BA)","1055"
"2924801","Piritiba (BA)","3585"
"2924900","Planaltino (BA)","1178"
"2925006","Planalto (BA)","3590"
"2925105","Poções (BA)","4450"
"2925204","Pojuca (BA)","681"
"2925253","Ponto Novo (BA)","5390"
"2925303","Porto Seguro (BA)","8345"
"2925402","Potiraguá (BA)","1247"
"2925501","Prado (BA)","15632"
"2925600","Presidente Dutra (BA)","11246"
"2925709","Presidente Jânio Quadros (BA)","1177"
"2925758","Presidente Tancredo Neves (BA)","10223"
"2925808","Queimadas (BA)","6000"
"2925907","Quijingue (BA)","52755"
"2925931","Quixabeira (BA)","1334"
"2925956","Rafael Jambeiro (BA)","1040"
