"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área colhida (Hectares)"
"Cód.","Município","Ano x Produto das lavouras temporárias"
"Cód.","Município","2010"
"Cód.","Município","Algodão herbáceo (em caroço)","Cana-de-açúcar","Milho (em grão)","Soja (em grão)"
"2309805","Pacoti (CE)","-","50","1193","-"
"2309904","Pacujá (CE)","-","-","1158","-"
"2310001","Palhano (CE)","-","-","450","-"
"2310100","Palmácia (CE)","-","127","1092","-"
"2310209","Paracuru (CE)","-","3300","1400","-"
"2310258","Paraipaba (CE)","-","3480","2180","-"
"2310308","Parambu (CE)","-","5","14500","-"
"2310407","Paramoti (CE)","-","52","5500","-"
"2310506","Pedra Branca (CE)","-","20","8800","-"
"2310605","Penaforte (CE)","-","1","2023","-"
"2310704","Pentecoste (CE)","-","13","1580","-"
"2310803","Pereiro (CE)","-","10","2484","-"
"2310852","Pindoretama (CE)","-","1760","39","-"
"2310902","Piquet Carneiro (CE)","60","20","2051","-"
"2310951","Pires Ferreira (CE)","-","29","3380","-"
"2311009","Poranga (CE)","-","13","570","-"
"2311108","Porteiras (CE)","-","50","2640","-"
"2311207","Potengi (CE)","-","3","2738","-"
"2311231","Potiretama (CE)","-","-","90","-"
"2311264","Quiterianópolis (CE)","-","12","6945","-"
"2311306","Quixadá (CE)","128","-","3200","-"
"2311355","Quixelô (CE)","60","23","2223","-"
"2311405","Quixeramobim (CE)","60","-","4208","-"
"2311504","Quixeré (CE)","-","-","910","-"
"2311603","Redenção (CE)","-","400","1178","-"
"2311702","Reriutaba (CE)","10","38","3900","-"
"2311801","Russas (CE)","10","20","720","-"
"2311900","Saboeiro (CE)","20","12","2650","-"
"2311959","Salitre (CE)","-","-","4071","-"
"2312007","Santana do Acaraú (CE)","9","-","2870","-"
"2312106","Santana do Cariri (CE)","-","2","7460","-"
"2312205","Santa Quitéria (CE)","70","100","13275","-"
"2312304","São Benedito (CE)","-","6480","870","-"
"2312403","São Gonçalo do Amarante (CE)","-","1836","2050","-"
"2312502","São João do Jaguaribe (CE)","-","-","93","-"
"2312601","São Luís do Curu (CE)","-","103","650","-"
"2312700","Senador Pompeu (CE)","87","-","5341","-"
"2312809","Senador Sá (CE)","-","-","870","-"
"2312908","Sobral (CE)","5","29","8733","-"
"2313005","Solonópole (CE)","77","-","3312","-"
"2313104","Tabuleiro do Norte (CE)","-","-","760","-"
"2313203","Tamboril (CE)","-","6","3815","-"
"2313252","Tarrafas (CE)","-","-","4166","-"
"2313302","Tauá (CE)","-","11","18000","-"
"2313351","Tejuçuoca (CE)","-","-","2910","-"
"2313401","Tianguá (CE)","-","1350","2050","-"
"2313500","Trairi (CE)","-","185","1664","-"
"2313559","Tururu (CE)","-","5","1207","-"
"2313609","Ubajara (CE)","-","928","1860","-"
"2313708","Umari (CE)","-","20","1101","-"
"2313757","Umirim (CE)","-","24","1614","-"
"2313807","Uruburetama (CE)","-","5","605","-"
"2313906","Uruoca (CE)","-","-","2300","-"
"2313955","Varjota (CE)","10","7","1600","-"
"2314003","Várzea Alegre (CE)","-","10","3744","-"
"2314102","Viçosa do Ceará (CE)","-","2500","2045","-"
"2400109","Acari (RN)","-","-","-","-"
"2400208","Açu (RN)","-","-","20","-"
"2400307","Afonso Bezerra (RN)","-","-","10","-"
"2400406","Água Nova (RN)","-","-","170","-"
"2400505","Alexandria (RN)","-","-","212","-"
"2400604","Almino Afonso (RN)","-","3","130","-"
"2400703","Alto do Rodrigues (RN)","-","-","20","-"
"2400802","Angicos (RN)","2","-","10","-"
"2400901","Antônio Martins (RN)","-","20","200","-"
"2401008","Apodi (RN)","-","-","-","-"
"2401107","Areia Branca (RN)","-","-","-","-"
"2401206","Arês (RN)","-","4024","150","-"
"2401305","Augusto Severo (RN)","-","-","15","-"
"2401404","Baía Formosa (RN)","-","16000","20","-"
"2401453","Baraúna (RN)","-","-","30","-"
"2401503","Barcelona (RN)","-","-","142","-"
"2401602","Bento Fernandes (RN)","-","-","63","-"
"2401651","Bodó (RN)","-","-","90","-"
"2401701","Bom Jesus (RN)","-","-","140","-"
"2401800","Brejinho (RN)","-","2700","20","-"
"2401859","Caiçara do Norte (RN)","-","-","10","-"
"2401909","Caiçara do Rio do Vento (RN)","-","-","-","-"
"2402006","Caicó (RN)","-","25","65","-"
"2402105","Campo Redondo (RN)","-","-","150","-"
"2402204","Canguaretama (RN)","-","8000","90","-"
"2402303","Caraúbas (RN)","-","-","-","-"
"2402402","Carnaúba dos Dantas (RN)","-","-","35","-"
"2402501","Carnaubais (RN)","-","-","21","-"
"2402600","Ceará-Mirim (RN)","-","8000","50","-"
"2402709","Cerro Corá (RN)","-","-","90","-"
"2402808","Coronel Ezequiel (RN)","-","-","360","-"
"2402907","Coronel João Pessoa (RN)","-","60","550","-"
"2403004","Cruzeta (RN)","-","-","35","-"
"2403103","Currais Novos (RN)","-","-","120","-"
"2403202","Doutor Severiano (RN)","-","6","400","-"
"2403251","Parnamirim (RN)","-","242","144","-"
"2403301","Encanto (RN)","-","6","70","-"
"2403400","Equador (RN)","-","-","81","-"
"2403509","Espírito Santo (RN)","-","-","80","-"
"2403608","Extremoz (RN)","-","415","130","-"
"2403707","Felipe Guerra (RN)","-","-","-","-"
"2403756","Fernando Pedroza (RN)","-","-","7","-"
"2403806","Florânia (RN)","-","-","20","-"
"2403905","Francisco Dantas (RN)","-","2","80","-"
"2404002","Frutuoso Gomes (RN)","-","25","200","-"
"2404101","Galinhos (RN)","-","-","-","-"
"2404200","Goianinha (RN)","-","5528","200","-"
"2404309","Governador Dix-Sept Rosado (RN)","-","-","4","-"
"2404408","Grossos (RN)","-","-","-","-"
"2404507","Guamaré (RN)","12","-","60","-"
"2404606","Ielmo Marinho (RN)","-","-","300","-"
"2404705","Ipanguaçu (RN)","400","-","90","-"
"2404804","Ipueira (RN)","-","-","-","-"
"2404853","Itajá (RN)","-","-","6","-"
"2404903","Itaú (RN)","-","-","-","-"
"2405009","Jaçanã (RN)","-","-","-","-"
"2405108","Jandaíra (RN)","-","-","30","-"
"2405207","Janduís (RN)","-","1","-","-"
"2405306","Januário Cicco (RN)","-","-","100","-"
"2405405","Japi (RN)","1","-","85","-"
"2405504","Jardim de Angicos (RN)","-","-","10","-"
"2405603","Jardim de Piranhas (RN)","-","5","-","-"
"2405702","Jardim do Seridó (RN)","-","-","145","-"
"2405801","João Câmara (RN)","-","-","600","-"
"2405900","João Dias (RN)","-","-","230","-"
"2406007","José da Penha (RN)","-","6","320","-"
"2406106","Jucurutu (RN)","-","-","56","-"
"2406155","Jundiá (RN)","-","200","150","-"
"2406205","Lagoa d'Anta (RN)","-","-","40","-"
"2406304","Lagoa de Pedras (RN)","3","-","120","-"
"2406403","Lagoa de Velhos (RN)","-","-","170","-"
"2406502","Lagoa Nova (RN)","-","-","110","-"
"2406601","Lagoa Salgada (RN)","-","-","30","-"
"2406700","Lajes (RN)","-","-","-","-"
"2406809","Lajes Pintadas (RN)","1","-","420","-"
"2406908","Lucrécia (RN)","-","6","100","-"
"2407005","Luís Gomes (RN)","-","50","630","-"
"2407104","Macaíba (RN)","-","60","240","-"
"2407203","Macau (RN)","-","-","10","-"
"2407252","Major Sales (RN)","-","30","230","-"
"2407302","Marcelino Vieira (RN)","-","15","600","-"
"2407401","Martins (RN)","-","30","220","-"
"2407500","Maxaranguape (RN)","-","80","100","-"
"2407609","Messias Targino (RN)","-","2","-","-"
"2407708","Montanhas (RN)","-","120","135","-"
"2407807","Monte Alegre (RN)","-","50","248","-"
"2407906","Monte das Gameleiras (RN)","-","-","45","-"
"2408003","Mossoró (RN)","-","-","10","-"
"2408102","Natal (RN)","...","...","...","..."
"2408201","Nísia Floresta (RN)","-","713","250","-"
"2408300","Nova Cruz (RN)","35","713","270","-"
"2408409","Olho d'Água do Borges (RN)","-","-","-","-"
"2408508","Ouro Branco (RN)","-","2","100","-"
"2408607","Paraná (RN)","-","15","224","-"
"2408706","Paraú (RN)","-","-","-","-"
"2408805","Parazinho (RN)","10","-","-","-"
"2408904","Parelhas (RN)","-","-","92","-"
"2408953","Rio do Fogo (RN)","-","-","180","-"
"2409100","Passa e Fica (RN)","-","-","50","-"
"2409209","Passagem (RN)","-","15","150","-"
"2409308","Patu (RN)","-","-","-","-"
"2409332","Santa Maria (RN)","-","-","56","-"
"2409407","Pau dos Ferros (RN)","-","-","141","-"
"2409506","Pedra Grande (RN)","-","-","10","-"
"2409605","Pedra Preta (RN)","5","-","10","-"
"2409704","Pedro Avelino (RN)","10","-","15","-"
"2409803","Pedro Velho (RN)","-","2400","135","-"
"2409902","Pendências (RN)","-","-","20","-"
"2410009","Pilões (RN)","-","-","320","-"
"2410108","Poço Branco (RN)","-","300","70","-"
"2410207","Portalegre (RN)","-","-","230","-"
"2410256","Porto do Mangue (RN)","-","-","5","-"
"2410306","Serra Caiada (RN)","-","-","100","-"
"2410405","Pureza (RN)","-","2050","135","-"
"2410504","Rafael Fernandes (RN)","-","-","250","-"
"2410603","Rafael Godeiro (RN)","-","-","100","-"
"2410702","Riacho da Cruz (RN)","-","-","140","-"
"2410801","Riacho de Santana (RN)","-","-","180","-"
"2410900","Riachuelo (RN)","-","-","50","-"
"2411007","Rodolfo Fernandes (RN)","-","-","-","-"
"2411056","Tibau (RN)","-","-","-","-"
"2411106","Ruy Barbosa (RN)","-","-","80","-"
"2411205","Santa Cruz (RN)","40","-","384","-"
"2411403","Santana do Matos (RN)","-","-","30","-"
"2411429","Santana do Seridó (RN)","-","-","61","-"
"2411502","Santo Antônio (RN)","-","-","500","-"
"2411601","São Bento do Norte (RN)","-","-","20","-"
"2411700","São Bento do Trairí (RN)","-","-","25","-"
"2411809","São Fernando (RN)","-","3","-","-"
"2411908","São Francisco do Oeste (RN)","-","-","40","-"
"2412005","São Gonçalo do Amarante (RN)","-","2530","324","-"
"2412104","São João do Sabugi (RN)","-","-","-","-"
"2412203","São José de Mipibu (RN)","-","4525","203","-"
"2412302","São José do Campestre (RN)","-","-","-","-"
"2412401","São José do Seridó (RN)","-","-","3","-"
"2412500","São Miguel (RN)","-","10","2700","-"
"2412559","São Miguel do Gostoso (RN)","-","-","130","-"
"2412609","São Paulo do Potengi (RN)","-","-","90","-"
"2412708","São Pedro (RN)","-","-","-","-"
"2412807","São Rafael (RN)","-","-","-","-"
"2412906","São Tomé (RN)","-","-","-","-"
"2413003","São Vicente (RN)","-","-","85","-"
"2413102","Senador Elói de Souza (RN)","-","-","36","-"
"2413201","Senador Georgino Avelino (RN)","-","-","140","-"
"2413300","Serra de São Bento (RN)","-","-","120","-"
"2413359","Serra do Mel (RN)","-","-","-","-"
"2413409","Serra Negra do Norte (RN)","-","10","35","-"
"2413508","Serrinha (RN)","-","-","50","-"
"2413557","Serrinha dos Pintos (RN)","-","8","150","-"
"2413607","Severiano Melo (RN)","-","5","-","-"
"2413706","Sítio Novo (RN)","-","-","-","-"
"2413805","Taboleiro Grande (RN)","-","5","90","-"
"2413904","Taipu (RN)","-","3700","120","-"
"2414001","Tangará (RN)","-","-","370","-"
"2414100","Tenente Ananias (RN)","-","-","300","-"
"2414159","Tenente Laurentino Cruz (RN)","-","-","90","-"
"2414209","Tibau do Sul (RN)","-","1748","120","-"
"2414308","Timbaúba dos Batistas (RN)","-","5","-","-"
"2414407","Touros (RN)","-","200","120","-"
"2414456","Triunfo Potiguar (RN)","-","-","8","-"
"2414506","Umarizal (RN)","-","-","-","-"
"2414605","Upanema (RN)","-","-","-","-"
"2414704","Várzea (RN)","-","-","108","-"
"2414753","Venha-Ver (RN)","-","5","120","-"
"2414803","Vera Cruz (RN)","-","17","210","-"
"2414902","Viçosa (RN)","-","30","80","-"
"2415008","Vila Flor (RN)","-","600","18","-"
"2500106","Água Branca (PB)","-","2","2000","-"
"2500205","Aguiar (PB)","-","12","400","-"
"2500304","Alagoa Grande (PB)","-","2400","2300","-"
"2500403","Alagoa Nova (PB)","25","700","600","-"
"2500502","Alagoinha (PB)","-","516","80","-"
"2500536","Alcantil (PB)","2","-","80","-"
"2500577","Algodão de Jandaíra (PB)","-","-","-","-"
"2500601","Alhandra (PB)","-","3300","-","-"
"2500700","São João do Rio do Peixe (PB)","24","-","-","-"
"2500734","Amparo (PB)","10","-","300","-"
"2500775","Aparecida (PB)","-","-","-","-"
"2500809","Araçagi (PB)","-","490","-","-"
"2500908","Arara (PB)","-","-","1000","-"
"2501005","Araruna (PB)","-","-","2000","-"
"2501104","Areia (PB)","-","1000","330","-"
"2501153","Areia de Baraúnas (PB)","-","-","54","-"
"2501203","Areial (PB)","-","-","100","-"
"2501302","Aroeiras (PB)","5","-","400","-"
"2501351","Assunção (PB)","-","-","75","-"
"2501401","Baía da Traição (PB)","-","1200","5","-"
"2501500","Bananeiras (PB)","-","130","50","-"
"2501534","Baraúna (PB)","-","-","300","-"
"2501575","Barra de Santana (PB)","2","-","200","-"
"2501609","Barra de Santa Rosa (PB)","-","-","400","-"
"2501708","Barra de São Miguel (PB)","-","-","180","-"
"2501807","Bayeux (PB)","-","-","-","-"
"2501906","Belém (PB)","-","30","50","-"
"2502003","Belém do Brejo do Cruz (PB)","-","-","250","-"
"2502052","Bernardino Batista (PB)","-","4","-","-"
"2502102","Boa Ventura (PB)","-","10","200","-"
"2502151","Boa Vista (PB)","5","-","200","-"
"2502201","Bom Jesus (PB)","-","-","-","-"
"2502300","Bom Sucesso (PB)","120","6","450","-"
"2502409","Bonito de Santa Fé (PB)","-","60","50","-"
"2502508","Boqueirão (PB)","2","-","420","-"
"2502607","Igaracy (PB)","-","-","450","-"
"2502706","Borborema (PB)","-","-","30","-"
"2502805","Brejo do Cruz (PB)","30","6","220","-"
"2502904","Brejo dos Santos (PB)","40","6","120","-"
"2503001","Caaporã (PB)","-","4400","-","-"
"2503100","Cabaceiras (PB)","2","-","-","-"
"2503209","Cabedelo (PB)","...","...","...","..."
"2503308","Cachoeira dos Índios (PB)","-","-","-","-"
"2503407","Cacimba de Areia (PB)","-","-","-","-"
"2503506","Cacimba de Dentro (PB)","-","-","1800","-"
"2503555","Cacimbas (PB)","-","3","620","-"
"2503605","Caiçara (PB)","-","-","-","-"
"2503704","Cajazeiras (PB)","-","15","-","-"
"2503753","Cajazeirinhas (PB)","-","6","270","-"
"2503803","Caldas Brandão (PB)","-","-","70","-"
"2503902","Camalaú (PB)","5","-","300","-"
"2504009","Campina Grande (PB)","30","-","2000","-"
"2504033","Capim (PB)","-","1600","5","-"
"2504074","Caraúbas (PB)","-","-","100","-"
"2504108","Carrapateira (PB)","-","-","-","-"
"2504157","Casserengue (PB)","-","-","500","-"
"2504207","Catingueira (PB)","-","20","-","-"
"2504306","Catolé do Rocha (PB)","-","5","720","-"
"2504355","Caturité (PB)","2","-","400","-"
"2504405","Conceição (PB)","60","200","2000","-"
"2504504","Condado (PB)","20","-","-","-"
"2504603","Conde (PB)","-","350","-","-"
"2504702","Congo (PB)","5","-","200","-"
"2504801","Coremas (PB)","60","5","300","-"
"2504850","Coxixola (PB)","2","-","100","-"
"2504900","Cruz do Espírito Santo (PB)","-","6500","20","-"
"2505006","Cubati (PB)","-","-","150","-"
"2505105","Cuité (PB)","-","-","-","-"
"2505204","Cuitegi (PB)","-","150","30","-"
"2505238","Cuité de Mamanguape (PB)","-","400","-","-"
"2505279","Curral de Cima (PB)","-","350","-","-"
"2505303","Curral Velho (PB)","-","10","200","-"
"2505352","Damião (PB)","-","-","900","-"
"2505402","Desterro (PB)","-","2","500","-"
"2505501","Vista Serrana (PB)","30","5","180","-"
"2505600","Diamante (PB)","-","10","150","-"
"2505709","Dona Inês (PB)","10","-","80","-"
"2505808","Duas Estradas (PB)","-","20","50","-"
"2505907","Emas (PB)","-","6","600","-"
"2506004","Esperança (PB)","-","-","450","-"
"2506103","Fagundes (PB)","10","-","2000","-"
"2506202","Frei Martinho (PB)","-","-","200","-"
"2506251","Gado Bravo (PB)","15","-","200","-"
"2506301","Guarabira (PB)","-","80","100","-"
"2506400","Gurinhém (PB)","44","-","370","-"
"2506509","Gurjão (PB)","10","-","450","-"
"2506608","Ibiara (PB)","10","50","750","-"
"2506707","Imaculada (PB)","-","15","1800","-"
"2506806","Ingá (PB)","20","-","700","-"
"2506905","Itabaiana (PB)","-","220","450","-"
"2507002","Itaporanga (PB)","15","35","2000","-"
"2507101","Itapororoca (PB)","-","2000","50","-"
"2507200","Itatuba (PB)","25","-","380","-"
"2507309","Jacaraú (PB)","-","2200","-","-"
"2507408","Jericó (PB)","-","5","430","-"
"2507507","João Pessoa (PB)","-","-","-","-"
"2507606","Juarez Távora (PB)","10","-","600","-"
"2507705","Juazeirinho (PB)","-","-","600","-"
"2507804","Junco do Seridó (PB)","-","-","500","-"
"2507903","Juripiranga (PB)","-","5000","40","-"
"2508000","Juru (PB)","-","50","1200","-"
"2508109","Lagoa (PB)","50","5","150","-"
"2508208","Lagoa de Dentro (PB)","-","-","35","-"
"2508307","Lagoa Seca (PB)","-","-","200","-"
"2508406","Lastro (PB)","18","-","106","-"
"2508505","Livramento (PB)","-","-","500","-"
"2508554","Logradouro (PB)","20","-","40","-"
"2508604","Lucena (PB)","-","1800","-","-"
"2508703","Mãe d'Água (PB)","-","16","-","-"
"2508802","Malta (PB)","20","5","100","-"
"2508901","Mamanguape (PB)","-","9000","15","-"
"2509008","Manaíra (PB)","-","10","2500","-"
"2509057","Marcação (PB)","-","3000","-","-"
"2509107","Mari (PB)","-","2000","20","-"
"2509156","Marizópolis (PB)","10","-","10","-"
"2509206","Massaranduba (PB)","5","-","1800","-"
"2509305","Mataraca (PB)","-","3000","-","-"
"2509339","Matinhas (PB)","-","-","400","-"
"2509370","Mato Grosso (PB)","20","-","520","-"
"2509396","Maturéia (PB)","-","12","-","-"
"2509404","Mogeiro (PB)","-","200","400","-"
"2509503","Montadas (PB)","-","-","144","-"
"2509602","Monte Horebe (PB)","-","-","-","-"
"2509701","Monteiro (PB)","-","-","1500","-"
"2509800","Mulungu (PB)","-","-","120","-"
"2509909","Natuba (PB)","-","-","120","-"
"2510006","Nazarezinho (PB)","-","38","25","-"
"2510105","Nova Floresta (PB)","-","-","30","-"
"2510204","Nova Olinda (PB)","5","-","175","-"
"2510303","Nova Palmeira (PB)","-","-","150","-"
"2510402","Olho d'Água (PB)","-","10","770","-"
"2510501","Olivedos (PB)","-","-","150","-"
"2510600","Ouro Velho (PB)","2","-","500","-"
"2510659","Parari (PB)","5","-","400","-"
"2510709","Passagem (PB)","-","-","252","-"
"2510808","Patos (PB)","-","4","750","-"
"2510907","Paulista (PB)","30","8","325","-"
"2511004","Pedra Branca (PB)","-","5","200","-"
"2511103","Pedra Lavrada (PB)","-","-","200","-"
"2511202","Pedras de Fogo (PB)","-","30000","50","-"
"2511301","Piancó (PB)","10","-","380","-"
"2511400","Picuí (PB)","-","-","700","-"
"2511509","Pilar (PB)","20","120","160","-"
"2511608","Pilões (PB)","-","200","160","-"
"2511707","Pilõezinhos (PB)","-","45","50","-"
"2511806","Pirpirituba (PB)","-","150","40","-"
"2511905","Pitimbu (PB)","-","2300","-","-"
"2512002","Pocinhos (PB)","10","-","800","-"
"2512036","Poço Dantas (PB)","-","-","-","-"
"2512077","Poço de José de Moura (PB)","-","-","-","-"
"2512101","Pombal (PB)","100","15","700","-"
"2512200","Prata (PB)","2","-","400","-"
"2512309","Princesa Isabel (PB)","-","10","-","-"
"2512408","Puxinanã (PB)","5","-","600","-"
"2512507","Queimadas (PB)","5","-","2000","-"
"2512606","Quixaba (PB)","-","-","-","-"
"2512705","Remígio (PB)","-","-","120","-"
"2512721","Pedro Régis (PB)","-","300","60","-"
"2512747","Riachão (PB)","10","-","400","-"
"2512754","Riachão do Bacamarte (PB)","-","120","70","-"
"2512762","Riachão do Poço (PB)","-","40","80","-"
"2512788","Riacho de Santo Antônio (PB)","1","-","100","-"
"2512804","Riacho dos Cavalos (PB)","40","15","800","-"
"2512903","Rio Tinto (PB)","-","12000","-","-"
"2513000","Salgadinho (PB)","-","-","-","-"
"2513109","Salgado de São Félix (PB)","-","120","-","-"
"2513158","Santa Cecília (PB)","5","-","200","-"
"2513208","Santa Cruz (PB)","-","18","-","-"
"2513307","Santa Helena (PB)","-","-","-","-"
"2513356","Santa Inês (PB)","2","12","400","-"
"2513406","Santa Luzia (PB)","-","-","65","-"
"2513505","Santana de Mangueira (PB)","5","15","450","-"
"2513604","Santana dos Garrotes (PB)","5","-","180","-"
"2513653","Joca Claudino (PB)","-","-","-","-"
"2513703","Santa Rita (PB)","-","13875","-","-"
"2513802","Santa Teresinha (PB)","-","-","-","-"
"2513851","Santo André (PB)","10","-","600","-"
"2513901","São Bento (PB)","-","5","260","-"
"2513927","São Bentinho (PB)","10","5","280","-"
"2513943","São Domingos do Cariri (PB)","-","-","100","-"
"2513968","São Domingos (PB)","60","5","330","-"
"2513984","São Francisco (PB)","-","-","25","-"
"2514008","São João do Cariri (PB)","-","-","300","-"
"2514107","São João do Tigre (PB)","5","-","400","-"
"2514206","São José da Lagoa Tapada (PB)","-","30","-","-"
"2514305","São José de Caiana (PB)","2","20","500","-"
"2514404","São José de Espinharas (PB)","-","6","-","-"
"2514453","São José dos Ramos (PB)","-","90","52","-"
"2514503","São José de Piranhas (PB)","-","10","432","-"
"2514552","São José de Princesa (PB)","-","25","-","-"
"2514602","São José do Bonfim (PB)","-","3","-","-"
"2514651","São José do Brejo do Cruz (PB)","15","5","180","-"
"2514701","São José do Sabugi (PB)","20","-","-","-"
"2514800","São José dos Cordeiros (PB)","5","-","800","-"
"2514909","São Mamede (PB)","-","-","-","-"
"2515005","São Miguel de Taipu (PB)","-","200","100","-"
"2515104","São Sebastião de Lagoa de Roça (PB)","-","-","52","-"
"2515203","São Sebastião do Umbuzeiro (PB)","5","-","500","-"
"2515302","Sapé (PB)","-","10000","20","-"
"2515401","São Vicente do Seridó (PB)","-","-","300","-"
"2515500","Serra Branca (PB)","5","-","600","-"
"2515609","Serra da Raiz (PB)","-","45","40","-"
"2515708","Serra Grande (PB)","-","12","200","-"
"2515807","Serra Redonda (PB)","-","-","400","-"
"2515906","Serraria (PB)","-","450","50","-"
"2515930","Sertãozinho (PB)","-","-","25","-"
"2515971","Sobrado (PB)","-","600","35","-"
"2516003","Solânea (PB)","-","20","-","-"
"2516102","Soledade (PB)","-","-","60","-"
"2516151","Sossêgo (PB)","-","-","300","-"
"2516201","Sousa (PB)","-","10","180","-"
"2516300","Sumé (PB)","2","-","600","-"
"2516409","Tacima (PB)","10","-","450","-"
"2516508","Taperoá (PB)","-","-","250","-"
"2516607","Tavares (PB)","-","25","4000","-"
"2516706","Teixeira (PB)","-","6","-","-"
"2516755","Tenório (PB)","-","-","80","-"
"2516805","Triunfo (PB)","-","-","-","-"
"2516904","Uiraúna (PB)","-","55","-","-"
"2517001","Umbuzeiro (PB)","2","-","200","-"
"2517100","Várzea (PB)","-","-","200","-"
"2517209","Vieirópolis (PB)","5","12","-","-"
"2517407","Zabelê (PB)","-","-","300","-"
"2600054","Abreu e Lima (PE)","-","1000","380","-"
"2600104","Afogados da Ingazeira (PE)","10","-","300","-"
"2600203","Afrânio (PE)","-","7","-","-"
"2600302","Agrestina (PE)","-","-","300","-"
"2600401","Água Preta (PE)","-","10000","-","-"
"2600500","Águas Belas (PE)","10","-","1500","-"
"2600609","Alagoinha (PE)","-","-","600","-"
"2600708","Aliança (PE)","-","10000","22","-"
"2600807","Altinho (PE)","-","-","300","-"
"2600906","Amaraji (PE)","-","6500","-","-"
"2601003","Angelim (PE)","-","-","110","-"
"2601052","Araçoiaba (PE)","-","1290","-","-"
"2601102","Araripina (PE)","-","-","10000","-"
"2601201","Arcoverde (PE)","10","-","1100","-"
"2601300","Barra de Guabiraba (PE)","-","600","-","-"
"2601409","Barreiros (PE)","-","4000","-","-"
"2601508","Belém de Maria (PE)","-","720","50","-"
"2601607","Belém do São Francisco (PE)","-","-","350","-"
"2601706","Belo Jardim (PE)","-","-","500","-"
"2601805","Betânia (PE)","-","-","5000","-"
"2601904","Bezerros (PE)","-","600","800","-"
"2602001","Bodocó (PE)","-","-","3850","-"
"2602100","Bom Conselho (PE)","20","-","1750","-"
"2602209","Bom Jardim (PE)","-","210","500","-"
"2602308","Bonito (PE)","-","3740","-","-"
"2602407","Brejão (PE)","-","-","400","-"
"2602506","Brejinho (PE)","-","10","300","-"
"2602605","Brejo da Madre de Deus (PE)","-","4","800","-"
"2602704","Buenos Aires (PE)","-","4565","19","-"
"2602803","Buíque (PE)","50","-","5500","-"
"2602902","Cabo de Santo Agostinho (PE)","-","3000","-","-"
"2603009","Cabrobó (PE)","-","-","900","-"
"2603108","Cachoeirinha (PE)","-","-","600","-"
"2603207","Caetés (PE)","-","-","2500","-"
"2603306","Calçado (PE)","-","-","1000","-"
"2603405","Calumbi (PE)","-","-","800","-"
"2603454","Camaragibe (PE)","-","3000","-","-"
"2603504","Camocim de São Félix (PE)","-","3700","-","-"
"2603603","Camutanga (PE)","-","2970","65","-"
"2603702","Canhotinho (PE)","-","200","650","-"
"2603801","Capoeiras (PE)","-","200","1860","-"
"2603900","Carnaíba (PE)","40","-","255","-"
"2603926","Carnaubeira da Penha (PE)","50","-","1400","-"
"2604007","Carpina (PE)","-","3450","10","-"
"2604106","Caruaru (PE)","-","6","1000","-"
"2604155","Casinhas (PE)","-","3450","200","-"
"2604205","Catende (PE)","-","4500","20","-"
"2604304","Cedro (PE)","-","4","3000","-"
"2604403","Chã de Alegria (PE)","-","3600","-","-"
"2604502","Chã Grande (PE)","-","280","-","-"
"2604601","Condado (PE)","-","4700","96","-"
"2604700","Correntes (PE)","-","20","300","-"
"2604809","Cortês (PE)","-","3600","-","-"
"2604908","Cumaru (PE)","-","3450","2500","-"
"2605004","Cupira (PE)","-","-","300","-"
"2605103","Custódia (PE)","50","-","3600","-"
"2605152","Dormentes (PE)","-","15","-","-"
"2605202","Escada (PE)","-","8000","-","-"
"2605301","Exu (PE)","-","-","8000","-"
"2605400","Feira Nova (PE)","-","200","200","-"
"2605459","Fernando de Noronha (PE)","...","...","...","..."
"2605509","Ferreiros (PE)","-","5000","30","-"
"2605608","Flores (PE)","10","-","9800","-"
"2605707","Floresta (PE)","-","-","1500","-"
"2605806","Frei Miguelinho (PE)","42","200","600","-"
"2605905","Gameleira (PE)","-","8000","50","-"
"2606002","Garanhuns (PE)","-","20","700","-"
"2606101","Glória do Goitá (PE)","-","1500","40","-"
"2606200","Goiana (PE)","-","12000","120","-"
"2606309","Granito (PE)","20","5","2000","-"
"2606408","Gravatá (PE)","-","40","150","-"
"2606507","Iati (PE)","10","20","300","-"
"2606606","Ibimirim (PE)","20","-","5000","-"
"2606705","Ibirajuba (PE)","-","-","600","-"
"2606804","Igarassu (PE)","-","7000","120","-"
"2606903","Iguaracy (PE)","10","4","412","-"
"2607000","Inajá (PE)","50","-","1100","-"
"2607109","Ingazeira (PE)","6","-","615","-"
"2607208","Ipojuca (PE)","-","5000","-","-"
"2607307","Ipubi (PE)","-","-","2100","-"
"2607406","Itacuruba (PE)","-","5","200","-"
"2607505","Itaíba (PE)","30","-","4000","-"
"2607604","Ilha de Itamaracá (PE)","-","-","60","-"
"2607653","Itambé (PE)","-","12000","73","-"
"2607703","Itapetim (PE)","-","10","360","-"
"2607752","Itapissuma (PE)","-","1500","30","-"
"2607802","Itaquitinga (PE)","-","5000","30","-"
"2607901","Jaboatão dos Guararapes (PE)","-","9500","-","-"
"2607950","Jaqueira (PE)","-","4000","2","-"
"2608008","Jataúba (PE)","-","-","300","-"
"2608057","Jatobá (PE)","-","-","-","-"
"2608107","João Alfredo (PE)","-","400","1200","-"
"2608206","Joaquim Nabuco (PE)","-","3500","14","-"
"2608255","Jucati (PE)","-","20","1200","-"
